snapshot_time,symbol,match_price,ref_price
2026-04-16 00:55:26,ACB,23800,24000
2026-04-16 02:24:37,ACB,23800,24000
2026-04-16 03:27:00,ACB,23800,24000
2026-04-16 04:29:38,ACB,23800,24000
2026-04-16 05:23:48,ACB,23800,24000
2026-04-16 06:10:35,ACB,23800,24000
2026-04-16 07:00:45,ACB,23800,24000
2026-04-16 10:42:27,ACB,23750,23800
2026-04-16 12:52:21,ACB,23700,23800
2026-04-16 14:26:46,ACB,23700,23800
2026-04-16 16:04:40,ACB,23650,23800
2026-04-16 17:40:02,ACB,23650,23800
2026-04-16 18:43:06,ACB,23650,23800
