snapshot_time,symbol,match_price,ref_price
2026-04-29 00:25:05,HPG,27750,27900
2026-04-29 02:08:07,HPG,27750,27900
2026-04-29 03:41:00,HPG,27750,27900
2026-04-29 04:44:05,HPG,27750,27900
2026-04-29 05:42:08,HPG,27750,27900
2026-04-29 06:40:40,HPG,27750,27900
2026-04-29 08:25:52,HPG,0,27750
2026-04-29 11:56:31,HPG,27650,27750
2026-04-29 14:27:55,HPG,27750,27750
2026-04-29 16:36:17,HPG,27750,27750
2026-04-29 18:18:56,HPG,27750,27750
2026-04-29 20:00:35,HPG,27750,27750
2026-04-29 22:24:46,HPG,27750,27750
